config/bagging_fraction,config/bagging_freq,config/boost_from_average,config/boosting_type,config/class_weight,config/colsample_bytree,config/feature_fraction,config/iterations,config/learning_rate,config/max_depth,config/metric,config/min_child_samples,config/min_data_in_leaf,config/num_leaves,config/num_threads,config/objective,config/reg_alpha,config/reg_lambda,config/seed,config/subsample_for_bin,config/tree_learner,config/use_missing,config/verbosity,mean_loss,time_total_s,training_iteration,trial_id
{'gbdt': 0.9759452158874105},{'gbdt': 1},false,{'boosting_type': 'goss'},,0.6234351050295325,0.2652923893755378,100,0.09292819461297715,-1,root_mean_squared_error,51,5,35,1,regression,0.9324820498037334,0.034359943688063055,99999,3,serial,True,1,0.029912554054429438,129.98409461975098,1,06387a1e
{'gbdt': 0.9717438249763899},{'gbdt': 6},false,"{'boosting_type': 'gbdt', 'subsample': 0.6384387583005214}",balanced,0.8114405058832435,0.5900271627412996,100,0.006891239840237875,-1,root_mean_squared_error,36,12,98,1,regression,0.5245350833497053,0.00949405062312797,99999,2,serial,True,1,0.042952267515318165,171.6599607467651,1,7c28c35a
{'gbdt': 0.981297567982868},{'gbdt': 23},false,"{'boosting_type': 'gbdt', 'subsample': 0.7743430090418989}",,0.8259956602436552,0.5522315055759135,100,0.06735177896103074,-1,root_mean_squared_error,75,16,80,1,regression,0.651233893846664,0.9447649861648489,99999,7,serial,True,1,0.049912992463645126,151.45588636398315,1,db31cb2c
{'gbdt': 0.9723752163587134},{'gbdt': 18},false,"{'boosting_type': 'gbdt', 'subsample': 0.8832463356443481}",,0.7902065745330225,0.6149948754120814,100,0.05330766991589667,-1,root_mean_squared_error,100,9,60,1,regression,0.3138943882507659,0.8511198379856922,99999,1,serial,True,1,0.019017893447467318,135.02005505561831,1,f15de0ce
{'gbdt': 0.9642500740855325},{'gbdt': 15},false,"{'boosting_type': 'gbdt', 'subsample': 0.6692387577857367}",balanced,0.6753507516744364,0.381669883339241,100,0.02634331972139929,-1,root_mean_squared_error,89,5,100,1,regression,0.04428934576308649,0.1607353800812208,99999,7,serial,True,1,0.04391808456145405,161.754378080368,1,69137c98
{'gbdt': 0.9587980651660497},{'gbdt': 9},false,"{'boosting_type': 'gbdt', 'subsample': 0.9422807134112771}",balanced,0.8169620338918039,0.6388500734771616,100,0.07617922620964664,-1,root_mean_squared_error,74,19,119,1,regression,0.3280857119833724,0.6506480716316658,99999,1,serial,True,1,0.018270662717292857,138.74155449867249,1,55816030
{'gbdt': 0.9551054530476217},{'gbdt': 21},false,"{'boosting_type': 'gbdt', 'subsample': 0.590579863587415}",balanced,0.6175639117477522,0.14764047027208266,100,0.044276722708915195,-1,root_mean_squared_error,10,6,126,1,regression,0.23382904673535787,0.9905277372645138,99999,6,serial,True,1,0.03083424153722499,184.91293120384216,1,9742c3a6
{'gbdt': 0.9510901739511483},{'gbdt': 3},false,"{'boosting_type': 'gbdt', 'subsample': 0.6603727127751607}",balanced,0.8701998121886373,0.31686879037922183,100,0.013404428673339581,-1,root_mean_squared_error,89,5,149,1,regression,0.560356194238853,0.9193068634084343,99999,8,serial,True,1,0.0354982156904064,217.04417777061462,1,a34a4ce0
{'gbdt': 0.9607283677303263},{'gbdt': 3},false,"{'boosting_type': 'gbdt', 'subsample': 0.8575009554754475}",,0.8733421981471918,0.05789740269668259,100,0.011746981832970604,-1,root_mean_squared_error,46,13,32,1,regression,0.3703185367594229,0.6836008346710163,99999,7,serial,True,1,0.03705446958178922,165.32591342926025,1,f5d3c5c0
{'gbdt': 0.9818344261567735},{'gbdt': 14},false,"{'boosting_type': 'gbdt', 'subsample': 0.6521609299718795}",balanced,0.9920324497372959,0.22712841767272213,100,0.009372477829667106,-1,root_mean_squared_error,26,18,135,1,regression,0.10482199830009625,0.790619310175577,99999,8,serial,True,1,0.03833784011888136,262.34290599823,1,80d601bc
